Intent,Statement
Emotion,It feels like my courage is still tying its shoes while the world is already running.
Need,Can I have cheese?
Emotion,"that toy wasn’t just plastic or fluff—it was a friend, a story, a part of my adventures—and now it’s gone or different, and that’s hard."
Imitation,Uh-oh! That’s the sound of a tiny surprise!
Refusal,"No way, I’m not hearing that song again—radio off."
Command,"No! Don't let it die! Pass me the charger, my battery is low!"
Need,I want my duck
Distress,I cant find teddy
Desire,I want to visit the big science museum in London.
Desire,I hope to study hard and get an A easily
Comfort,"My feelings are a bit cloudy, can you bring some sunshine and make me feel good?"
Desire,I’d be thrilled to pose it in a dramatic scene and snap some cool photos.
Desire,I wish it snowed every day!  
Refusal,Please don’t play with my truck.
Comfort,A gentle touch of fabric beneath me brings me peace.
Comfort,I need someone to stay close to me.
Question,"Are shark teeth like tools in a toolbox, each one made for a special job?"
Emotion,"When I think of them,I feel like my love is whispering across the distance."
Refusal,"I TOTALLY DO NOT want to clean my room today, it's ALREADY TIDY ENOUGH!"
Distress,"I got lost in the supermarket, and it feels painful in my heart because I couldn't find Mum, now I feel queasy."
Question,What's a song you enjoy singing during music class?
Distress,My eyes feel scratchy and painful because of the soap
Question,Why can’t our eyes see the light from super faraway stars?
Desire,Can we visit an aquarium on our next trip?  
Question,"That’s why the rivers flooded in some towns, yeah?"
Gratitude,"each chapter came alive again because you were there, reading it with care and heart."
Imitation,I’m a dinosaur with a tail that swishes like a whip!
Command,"Unlock the surprise,Let’s discover it!"
Command,I brought my instrument! Let’s jam
Comfort,"Wrapped up together, I feel safe and happy."
Emotion,I’m hurt like a star that twinkled all night—but no one looked up to see it.
Gratitude,your kindness is like a steady rhythm in a noisy world—and I’m grateful for its calm.
Comfort,Having you near makes my thoughts settle.
Distress,Ouch! My finger feels all hot and yucky right now
Imitation,I’m copying the way they line up the shot with focus and flair!
Complaint,I don't like this smell.
Complaint,No! I’m not going to do something I don’t want to.
Pride,I learned the words to my favorite Bollywood song!  
Refusal,I’m not doing it—I’m too tired.
Refusal,Absolutely not! That one’s getting a polite pass from me today!
Distress,Hurt feels like a prickly ouchie in my heart
Complaint,It’s like the knot is playing hide-and-seek with the loose end!
Command,"No! Don't stop me! Let me do it, I know how to fix it!"
Observation,The puppy is chasing its tail.
Emotion,It feels like my skin is dancing when I didn’t ask it to.
Need,My heart pounds at the thought—give me what I’m asking for now.
Distress,I tripped and spilled my drink and now I feel all worried and cranky
Command,"Let me go first, I’ve been waiting!"
Need,"I have to go potty immediately! I feel like I need to go, it's pushing!"
Observation,The stars twinkle like little diamonds!  
Emotion,"I feel TERRIBLY sad because my pet fish died, he was MY BEST FRIEND!"
Desire,I’m dreaming of digging into scones with butter
Complaint,I worked so hard on it and now it’s messed up.
Need,Want my stuffed dog
Refusal,"No, I’m not swallowing that."
Comfort,I never sleep without snuggling my teddy.
Emotion,I feel grouchy when I have to do chores I don’t like.
Desire,I want to blast off and see what space smells like
Desire,I’m dreaming of a car that’s more than transportation—it’s a companion on the road.
Gratitude,thank you for being the joy in my journey and the calm in my chaos.
Refusal,Nope! My “yes” is still stretching in its hammock.
Need,"My nose is dripping like a tap—tissue, pretty please?"
Question,What role do temperature differences play in generating wind?
Distress,"I can’t get my suitcase to close, and I’m feeling really frustrated"
Observation,Thereâs a rainbow!
Command,"Start a story, I need something exciting!"
Command,"No, no, no! Just let me do it, I know how to fix it!"
Distress,"The rain is pouring and I’m crying because I can’t run and play, it feels so sad and frustrating inside"
Complaint,It’s frustrating that my blanket got dirty just from falling.
Command,Put that back right now!
Desire,I'm itching to explore the science museum.
Possession,"My spelling notebook stays with me, I need it!  "
Complaint,They never let me play the hero!
Emotion,"When someone says they’re proud,I feel like my heart is wearing a medal of love."
Question,What's going on in a dog's mind when it barks at the mailman?
Comfort,"Dada, your kiss is the quiet joy I always need."
Complaint,I feel like I never get a turn to enjoy things on my own.
Distress,I feel sad and worried when daddy is not here because he’s at work
Emotion,"When I think of them,I feel like my life is painted with laughter and care."
Need,I desire to practice my piano.
Command,"It’s music time—go on, sing"
Question,"How do cats make that soft, vibrating noise when they're happy?"
Comfort,Holding hands makes me feel better.
Distress,My suitcase won’t close and I feel really frustrated and stuck
Distress,It’s hurting me and I feel frustrated and a little scared
Gratitude,Thank you for making my room look nice!  
Complaint,My toy’s missing and it’s driving me bananas.
Complaint,It was right here and now it’s just... gone.
Comfort,A little peace blooms in my heart—I feel better.
Need,My ideas are loose leaves—can I borrow your stapler to tie them into a book?
Refusal,I’m not finished—I need more time.
Attention,I have news!
Desire,Want juice.
Command,"Clean your room right now, it's a disaster!"
Question,"If you could visit the exact middle of the Earth, what would it feel like?"
Emotion,Trying my best makes me feel strong and brave.
Complaint,He wasn’t paying attention and now my toy is gone.
Comfort,"Can you carry me, Daddy? I need a little rest."
Emotion,I feel super excited to learn about dinosaurs!  
Need,I need to practice my spelling words.
Question,How do cats manage to land so softly on their feet after a fall?
Emotion,"Dada, I feel curious about history!  "
Excitement,Wow! I finally figured out how electricity works!  
Complaint,"I was reaching for it, but it disappeared before I could grab it."
Imitation,I’m acting like I just got sorted into my house!
Comfort,Stay here—it makes me feel warm inside.
Complaint,I hate this weather—it’s making everything harder.
Excitement,Yay! Itâs pizza night!  
Question,"If you could switch lives with anyone for a day, who would it be?"
Emotion,I’m sad like a song that lost its melody.
Command,"Daddy, letâs go to the market and buy mangoes!  "
Command,I wanna try it
Refusal,No ball
Need,I wish I had my jersey now—the match is coming and I want to feel ready!
Complaint,He called me a name and it stuck to me like a sticker I didn’t want.
Complaint,"I wanted real juice, but this just tastes like water."
Complaint,I wanted the shiny one—it was the treasure of the bunch!
Refusal,I'm not going.
Desire,I’m hoping to get candy today.
Complaint,It’s not fair—I already did my part.
Question,"Could baking cookies be an option for us now, with games scheduled for later?"
Imitation,I am trying to draw like the artist in my book
Command,I want you to leave me alone! Wind your neck in!
Pride,I colored a radiant flower in Chichester!
Comfort,Can you be here for me? I need to talk.
Complaint,My sock loose
Distress,My suitcase won’t shut and I feel anxious and helpless right now
Question,What's the relationship between the physical state of yogurt (liquid vs. frozen) and its perceived taste?
Distress,My big project is making me super anxious and I feel all tangled inside
Comfort,I feel comfortable using my favorite pen for writing!  
Desire,I hope I get picked as the team captain!  
Need,I need someone to help me carry this!  
Desire,I wish I could spend the day in a place that’s made for giggles and goofy grins.
Command,Close the door quietly!
Refusal,"No eat yucky,not even a little bite!"
Pride,I jumped so high
Distress,"The dream was too much, and now I feel crestfallen."
Command,"Go away, actions! Don't do that!"
Desire,I’d really like to go outside.
Emotion,"I’m down like a book left closed, even though the pages are full of meaning."
Complaint,"My pencil broke, and I need a new one!  "
Complaint,This naan is too stiff and I don’t like the texture.
Imitation,I’m pretending to be the teacher who makes learning fun!
Question,"Do animals have dreams too, like us?"
Comfort,I just need someone to stay close.
Complaint,It’s not fun to eat bread that’s this hard and crunchy.
Distress,He hit me and my arm stings and my heart feels wobbly
Question,What's the smallest animal in the world?
Command,"You! Give me space, I need to play alone! Nuh-uh"
Refusal,I don’t want to do room cleaning right now.
Command,Don't touch anything else! Just help me open my snack!
Command,Don't touch anything else! Stop what you are doing right away!
Observation,The grass is green and soft under my feet.
Imitation,Crash! 
Emotion,It feels like my joy is playing hide-and-seek—and I’m losing.
Pride,"I know ALL MY LETTERS and their sounds, EVERY SINGLE ONE!"
Desire,I'm itching with anticipation to join the soccer team.
Emotion,"Mummy, Iâm feeling sleepy but I donât want to nap!   "
Imitation,I’m playing like every run counts—because it does!
Comfort,"Mummy, I feel sleepy, can you tuck me in?  "
Command,Tie my shoe
Observation,I saw a butterfly just like in Bambi!  
Excitement,Look how tall I've grown! I'm taller than the door handle!
Refusal,No juice!
Desire,I’d feel complete if I had it this very instant.
Observation,"Doggy! Look, a fluffy doggy!"
Question,Why do fireworks only happen at night?  
Desire,I want to learn guitar until it feels like second nature!
Refusal,I’m not tired—I don’t want a nap.
Desire,I’m pining for the moment when I know I gave it my all and it paid off.
Emotion,Seeing a rainbow feels like nature is whispering a colorful secret.
Desire,I just want to be left alone right now.
Emotion,I feel mad and I don’t know why.
Refusal,"I don’t want to share, it’s mine"
Comfort,A well-paced beat keeps my mind sharp and alert.
Question,"We’re not going to the moon today, are we?"
Desire,"I want that candy immediately, no delays"
Complaint,I’m staring at an empty cup and it’s no fun.
Complaint,It’s like wearing a porcupine in disguise.
Question,Can you do more spells with a staff?
Attention,"Are you listening to what I'm saying, please?"
Need,I'm not ready to play until my hands are pure and germ-free.
Distress,I need my book and I’m feeling nervous and a bit twitchy inside
Question,Is that creature correctly identified as a doggy?
Gratitude,thank you for making my favorite dish feel even more special just because it came from you.
Question,How is courage different from just being reckless?
Imitation,I’m copying the way pirates cheer when they find gold—or cookies!
Command,"Mummy, explain this Shakespeare quote to me!    "
Question,What's a simple pleasure that brings you joy?
Imitation,I’m copying the way the ball goes “thump-thump” when it lands!
Desire,"I’d be thrilled to hear, “Wait—you’re the younger one?”"
Comfort,"My spirit feels a bit quiet, and your talking to me always makes me feel loved and secure."
Imitation,"I’m pretending to be a pierogi pro—pinch-perfect, playful, and full of “Yum!”"
Need,My hands are full and I can’t open the door.
Desire,I’d be delighted to watch my favourite cartoon and forget the world for a while.
Pride,I beat my brother in the video game!
Complaint,Why do I never get the best stuff—it’s starting to feel unfair!
Need,My blueprint in my head needs your hands to bring walls and windows to life!
Question,Is curly hair the sky’s way of drawing swirls on people?
Question,Is there a button or a switch I need to use to turn this light on?
Refusal,Nope! I’m holding onto it for now.
Distress,"Every time she pokes me, I feel exasperated and uncomfortable."
Command,I’m waiting—come here please
Command,"Close the windows, itâs too windy!  "
Emotion,"I'm so happy I could burst, like a fizzy drink!"
Need,I really need to help you bake cookies today; it looks like so much fun!
Question,Is it almost adventure time yet?
Imitation,I’m running between the wickets like I’m chasing a world record!
Desire,I’m over the moon to catch some shut-eye now!
Need,I've reached my limit of wakefulness and want to be in bed immediately.
Distress,I said it and now everything feels messed up and I just want to cry
Imitation,I’m copying the way rock stars jump off speakers with a roar!
Complaint,My fingers are all shiny and yucky from the grease!
Distress,I miss my daddy when he's at work.
Command,Give me that
Imitation,Ribbit! I’m echoing the sound from the swamp!
Refusal,I want my food to look like a Minion or I won’t eat.
Complaint,He’s not sharing and it’s making me feel left out.
Comfort,Pat-pat. Your kindness makes my arm feel better.
Need,Need my cup
Need,"My current desire is to draw, and I need paper for it."
Command,"Sharing is caring—pass it hereCommand,Sit here!"
Need,My current need is for a brand new book.
Distress,"The dog's bark was a sudden, loud explosion, and it's making me feel fretful and all jumpy inside."
Complaint,He knocked me off my bike and it hurt a lot.
Complaint,"I don't want to clean my room, it's already clean!"
Refusal,"I’m not listening to that banging drum,it hurts my ears!"
Emotion,"When I’m waiting,I feel like my thoughts are racing ahead while my feet are stuck."
Imitation,I’m copying your clever way of saying things!
Gratitude,I deeply appreciate how you turned a challenge into a cheerful adventure.
Need,I desire a fresh story; let the descriptive words form clear mental images for me.
Question,What makes a good friend in a classroom setting?
Complaint,He’s being rude and it’s bothering me.
Command,"Let me manage my belongings,Don't move them around!"
Comfort,"Rub my head, it feels warm."
Complaint,I’m tired of being in the car and I want to go outside.
Command,"Make me a cool mask, I want to save the day!"
Command,"Daddy, tell me another story about Punjab! I want Mummy to hear too!"
Imitation,I’m typing like I’ve got a keyboard made of rocket fuel!
Refusal,Go away!I don’t want you here.
Imitation,"I’m pretending to say, “There must be more than this provincial life!”"
Desire,"I’m longing for that warm, purple soup in my tummy."
Complaint,No! I want to make my own choice.
Emotion,It feels like my imagination was crumpled like paper.
Command,"No, no, no! Get off me, you're squishing me!"
Distress,Dark! Turn light on!
Pride,My science project got the most votes!
Question,"Is the ""pop"" sound itself related to how popcorn pops?"
Need,"I really need my hair brushed right now, it's all tangled up."
Need,My bladder is about to burst—I need to sit on the potty.
Desire,I’m dreaming of a candy mountain I can climb and nibble.
Imitation,I’m pretending to scan a loaf of bread and a giggle!
Desire,"Ignore that,I really do desire it deep down."
Distress,"My toy fell and got dirty, and now my hands feel all sticky and shuddery!"
Need,I feel like I need you to pass that to me.
Imitation,I’m drawing like I’ve got a pencil full of passion and pride!
Refusal,Don’t come near me!
Complaint,My legs are worn out and heavy from walking.
Question,Why is courage considered an important quality?
Pride,I drew a Maasai warrior and it looks fantastic!  
Distress,My favourite toy car broke a wheel and now it won’t zoom like before
Need,Pass me my travel pillow for the long bus ride!  
Comfort,The soft warmth of the den makes me feel safe.
Desire,I want to play with the train set all morning.
Imitation,I’m swirling my spoon with a smile and a gentle clink!
Question,Is it safer to use a staff than just magic hands?
Comfort,"A big embrace from you makes me feel like nothing can hurt me, it's my shield."
Complaint,"Why do I ALWAYS, ALWAYS have to be the one to clean up EVERYTHING?"
Refusal,"Mommy, I donât want to go to bed!  "
Command,Make them clean and cool
Complaint,I’ve watched this movie too many times and now it’s just annoying.
Emotion,It feels like my voice is floating in a room where no one’s listening.
Comfort,"I gave it my all, and that’s something to celebrate."
Complaint,"I wanted the biggest apple, but someone took it!  "
Question,Are dreams made by stars at night?
Pride,Yay! I colored my picture perfectly!
Pride,"Mummy, I wrote my first book report!  "
Distress,"Her words are lingering in my mind, and I feel disoriented."
Question,Are we still waiting for someone to say when it begins?
Excitement,"Letâs start, letâs start!  "
Comfort,"I need to feel safe, and your arms are like super strong, gentle trees holding me close."
Emotion,A warm bed makes me feel like I’m safe in a nest of comfort.
Need,I’m craving mixed nuts for a protein boost.
Emotion,"That feeling makes me feel like my bravery is whispering, “Can I do this?”"
Attention,Can I interrupt for a second?
Emotion,I feel excited when I eat my favorite fruit!  
Command,Let’s open it up and see!
Need,I always feel more cheerful when I have a toy nearby.
Desire,Going to the beach in Mombasa sounds exciting!  
Complaint,He’s not being kind and it’s making me feel small.
Question,What is the currency of the United Kingdom?
Question,What's that under the couch cushion?
Imitation,I’m saying “OMG!” like I just opened a glittery treasure chest!
Gratitude,"I’m quietly thankful for the laughter, the love, and the moments that still make me smile inside."
Excitement,Look big bird
Desire,I’m dreaming of a table full of sugary goodies.
Refusal,Not now! I’m saying no because I don’t like it.
Distress,I can’t get it right and my heart feels all heavy and annoyed
Desire,I feel like going to the swimming pool and splashing.
Desire,I really want that new action figure.
Comfort,A bedtime reading would make everything feel peaceful.
Refusal,Stop! That’s my toy!
Question,Are anti-aliasing techniques used to smooth out jagged edges?
Emotion,Helping someone smile makes me feel like I sprinkled joy dust.
Complaint,"It's not fair,I feel like I’m always last."
Refusal,I’m not doing it—I’m holding my ground.
Command,Help me solve this maths equation! I want mummy/daddy to see!
Comfort,Let’s snuggle up together on the soft sofa.
Comfort,"Dada, your voice brings me peace and comfort."
Complaint,nervous around the cat now because it scratched me.
Imitation,I'm pretending to be the principal in charge of the school.
Emotion,I feel proud when I learn to cook something new!
Possession,The school's library.
Distress,My kite flew away and I can’t get it back
Comfort,"Just one hug, and I’ll feel much better."
Comfort,It's comforting to be on your lap while we look at the dinosaur book together.
Comfort,Your warmth makes me feel happy and secure.
Comfort,Holding someone tight in a cuddle brings me peace.
Refusal,I’m staying put until I want to leave.
Command,Fix my block
Question,Are you watching a cooking show where the cakes look like castles?
Emotion,I feel grumpy because I woke up too early this morning.
Complaint,She’s not being fair and it’s hurting my feelings.
Emotion,It feels like my heart is carrying a quiet ache it can’t explain.
Refusal,"No eat yucky,I said no and I mean it!"
Desire,I want to feed the goats and wave at the flamingos.
Command,Give me that!
Complaint,I wish I didn’t have to take a bath when I’m not in the mood.
Need,My body’s calling for jump-jump—shall we bounce on the trampoline?
Command,I’m next! Pass it over!
Gratitude,I cherish the way your support echoed in my ears long after the final whistle—it was the soundtrack of confidence.
Need,My whispers need a listener—can someone stay by my side to hear them?
Command,It’s a BIG stop! Don’t go there!
Refusal,I’m skipping the stage until I get my say.
Command,Don’t even think about snitching to Mom!
Need,I have to get a new notebook; it's important for me to write things down and make lists.
Imitation,"I’m copying the way pilots say, “Prepare for descent!”"
Comfort,I need you to cuddle me!
Distress,I can’t find my class notes anywhere and it’s making me anxious and frustrated
Question,What makes the trumpet sound different from other brass instruments?
Refusal,I said no—brushing isn’t on the agenda.
Possession,"This is her responsibility, not something I have to worry about."
Imitation,Vroom! Vroom! I’m copying the sound of a car starting up!
Emotion,I’m grumpy like a porcupine in a sweater.
Distress,"My crisps are gone on the floor, and it's making me feel upset and all jittery inside."
Complaint,I feel disappointed because I thought it would be faster.
Distress,"Oh, my Lego castle broke and it makes my heart feel all jumpy and blue"
Question,Why do sometimes we get goosebumps when we're cold or scared?
Need,Can I please build a fort? I have to make a cozy spot.
Command,Sing like nobody's listening
Refusal,"You can’t make me, no way."
Emotion,I feel confident about my test today!  
Emotion,It feels like time is sprinting ahead while I’m stuck in slow motion.
Refusal,I already said no—I’m not leaving it behind.
Gratitude,"to everyone who’s walked beside me, even for a little while—thank you for the gift of your presence."
Imitation,Pew-pew! I’m pretending to be a light-speed explorer!
Comfort,I long for the warmth of your gentle embrace.
Imitation,I’m pretending to be the king of the Circle of Life!
Gratitude,"A big, big thank you for making my gaming console ready for action!"
Question,How does the surface material underneath a puddle affect its drying time?
Gratitude,"Dada, you made me laugh when you missed—thankoo!"
Question,What are you making for lunch?
Emotion,"I feel torn—part of me wants to cuddle up and the other part wants one more story, one more game, one more minute."
Excitement,I canât wait to jump in puddles after the rain!  
Distress,"Help! The shadows are so scary, like giant, mean monsters, and I feel unhappy right now."
Distress,Losing my toy has left me feeling restless and uneasy.
Complaint,The sound is too much and I need it to be quieter.
Question,Can I have a sleepover with my best friend?
Need,I need my socks
Imitation,I’m talking like I’ve got a pocket full of peppermints and patience!
Refusal,I'm not putting on that coat.
Complaint,I’ve spun the dial a hundred times and still nothing!
Question,"Does Ariel from ""The Little Mermaid"" ever miss having feet when she's back in the ocean?"
Complaint,It’s too wet and it’s making me feel icky.
Possession,Her doll.
Possession,"That's my side of the bed, don't cross the line!"
Command,It’s time to crouch! Down
Complaint,I feel left out—it was the best slice and I didn’t get it.
Emotion,Iâm calm with green biryani!
Command,"Dada, explain how clouds are made!  "
Comfort,"I feel homesick, can we watch my favorite movie?  "
Refusal,I don’t want to share it.
Desire,I want to watch the whole movie.
Comfort,Being close to you makes my heart feel light.
Comfort,A warm hug would make me feel better after today.
Refusal,My dollhouse is not for playing with by others.
Refusal,"I'm busy playing outside, I can't come in now."
Comfort,I feel warm with a sharp ruler in Gateshead!
Imitation,Woof-woof! I’m a puppy jumping up for cuddles!
Pride,I cooked shiny jollof rice!
Complaint,I don’t like always being the one who waits.
Refusal,I’m busy building—food can wait.
Refusal,Wait! It’s my turn now.
Emotion,"I’m so happy, I feel light and floaty—like there’s sunshine dancing on my shoulders and I could fly."
Emotion,"when I feel this way, I imagine my courage putting on its costume too—ready to shine with me on stage."
Imitation,I’m racing like I’ve got a track made of giggles and glory!
Desire,Could I have the chance to do PE outside today?
Complaint,This new rule is confusing and I don’t like it.
Excitement,Bubbles!
Excitement,I'm so excited for the school trip to the chocolate factory!
Possession,My twinkly dosa!  
Command,That’s not its home—fix it!
Command,Mine! It's mine!
Emotion,I feel spooked when I hear creaky sounds at night.
Comfort,I love sitting in my gaming chairâitâs really comfortable!  
Need,My sneakers are itching for new trails—let me explore every corner of the garden and beyond.
Complaint,He’s acting like he doesn’t care about my feelings.
Distress,"My blanket disappeared, and I feel scared and uncomfortable inside"
Complaint,It’s like the best stuff is playing favorites—and I’m not one!
Refusal,I already said no—they don’t sit right with me.
Distress,The dark shadows in the room look like scary monsters.
Refusal,"No, I’m not done playing—my turn!"
Refusal,Nope! That doesn’t sit right with me.
Question,What's your favorite type of story to write?
Complaint,My wand bends too much and it’s ruining the fun.
Refusal,"No cleaning from me, you do it."
Imitation,I’m saying “Stop right there!” like I’m guarding the cookie jar!
Command,You’ve got to hear the whole thing!
Refusal,Absolutely not! I want my juice to chill like a popsicle.
Refusal,"Uh-uh,slimy food is gross, I’m not eating it."
Command,Make it stop! Stop what you are doing right away!
Command,Close the door!
Observation,I can hear the wind singing!
Question,How do the tiny particles responsible for electricity travel along a wire?
Command,My turn! You get away from my things!
Comfort,Stay with me—I need your kindness right now.
Need,I want someone to cheer me on so I don’t give up.
Refusal,I want to keep playing outside.
Refusal,"Nope, not going to sleep right now."
Gratitude,Thank you for bringing my ball to the park!  
Complaint,She swooped in like a toy-stealing ninja.
Emotion,"I’m so glad I get to feel this way—it’s like my own Barbie dream day, and I’m the star!"
Need,My syllables are dancing too fast—teach me how to catch and blend them one by one.
Desire,I truly want to cuddle my Easter bunny.
Complaint,I barely got a lick before it turned into a drippy mess
Imitation,I’m layering spices and smiles into a pot with a pointy hat!
Refusal,I already said no—I’m not getting in the tub.
Command,"Find the best spot,I want authentic flavors!"
Emotion,It feels like my boundaries are being crossed—and my voice is the only fence I have.
Imitation,I’m pretending to hammer nails with a big “bang bang!”
Question,Can I have a sleepover with my neighbor?
Question,"Why do I have to eat all my vegetables, like broccoli?"
Possession,"No one can borrow my calculator, I need it for my test!  "
Desire,I’d be so happy if I won this game.
Complaint,It’s so loud I feel like covering my ears.
Question,Is there any chance the ball is in the shed?
Gratitude,I appreciate the yummy sandwich—it made lunch feel extra special!
Command,I need it now—no more waiting
Gratitude,"with every curve and contour they create, I’m reminded of the gift it is to express without words."
Imitation,I’m scanning like I’ve got a barcode scanner in my hand!
Complaint,I don’t want to wait anymore—it’s taking too long!
Need,I'm looking forward to playing with my friend now.
Command,Sit down at the table and finish your dinner!
Command,Can you sit down at the table for dinner? Please!
Comfort,I feel so secure and at ease when I'm playing my games after school.
Desire,"I’d like some gooey, cheesy pizza for lunch, please."
Distress,The monster under the bed is scary!
Desire,I’m dreaming of the warm air and bright colors of Ghana.
Need,"It's important that I get some juice, because I'm so thirsty."
Comfort,Gentle rubbing will help me feel better.
Emotion,Snack-sharing makes me feel like I’m part of a secret kindness club.
Emotion,I feel fuming when I’m not allowed to explain myself.
Observation,The dhal curry is plush!
Refusal,I donât want to stop playing!  
Pride,I beat my brother in the video game!
Emotion,I’m playful like a whisper of fun waiting to pop out and say “boo!”
Emotion,super happy feels like a rainbow exploded in my chest and painted everything bright.
Need,I'm freezing here so I need someone to cuddle me.
Question,Why do plates make a loud sound when stacked together?  
Complaint,Don't make loud noise!
Complaint,I chose this one by mistake and now I’m stuck with it.
Question,Do dogs think the mailman is an intruder on their property?
Command,"Tidy it up, I mean now"
Emotion,I have so much energy right now!  
Comfort,"I wish I could pet the dog, it would make me feel calm and happy."
Desire,"Daddy, can we watch Peppa Pig together?  "
Imitation,"Woof-woof! I’m a dog in a parade, wagging and woofing!"
Need,can’t wait another second—this is a potty emergency!
Refusal,"I already said no, and I’m sticking to it!"
Complaint,"I wanted to draw a rainbow, but it turned into spaghetti"
Question,"Is the trip nearly over, my stomach is complaining about hunger, what time are we looking at?"
Emotion,I’m loved when I get a big bear hug.
Need,I need my homework
Emotion,"when I say “love you,” I mean it with every squeeze, every smile, and every heartbeat tucked into that giant blanket."
Command,I’ve been waiting—give it!
Command,Stop hitting your little brother!
Excitement,This book is amazing! I can't put it down!
Question,Are we there yet? My stomach is rumbling.
Gratitude,thanksies! You’re my super-duper laugh machine!
Emotion,"When I meet someone new,I feel like my smile is trying to find the right page."
Question,Why does tea make steam?  
Emotion,Being small in a big world makes me feel like my hopes are seeds scattered in a storm.
Refusal,I won’t let you use it right now.
Emotion,I feel thankful when I get help with something hard.
Complaint,I don't like this smell.
Complaint,Too bright! Shade eyes!
Question,"If you could grow a tree that grew your favorite snack, what would it be?"
Emotion,I’m shy like a kitten meeting a new friend for the first time.
Distress,"Your cross voice makes my tummy feel cold, like a dark cloud, and it makes me feel distressed."
Attention,Can I tell you something
Command,"Make a cup of spiced chai for me, please! I want mummy/daddy to see!"
Comfort,A calming touch will make my back feel better.
Comfort,Reading fairy tales before bed makes me happy!  
Refusal,I donât want to stop pretendingâI love being a knight in Chester!  
Refusal,I’m not doing that—I don’t enjoy them.
Emotion,I feel like my compassion is reaching out with invisible arms.
Complaint,I feel like my ideas are stuck because I don’t have any pieces!
Desire,I want to feel what it’s like to look eye-to-eye with the tall folks.
Attention,"Dat! Look at that, please!"
Distress,"I lost my money at the checkout, feeling anxious and shaken"
Complaint,He pushed me off and now I’m scared to ride again.
Complaint,"This homework is too hard, I can't do it!"
Excitement,Yes! Iâm so excited for this!  
Distress,I'm really sad that my plant died.
Question,Do you want to be someone who solves mysteries or someone who makes music?
Command,Let me play first!  
Observation,The school bell rings louder in the afternoon!  
Distress,He keeps bothering me
Gratitude,thank you for turning learning into a game and helping me see that numbers can be exciting.
Attention,"Are you listening to what I'm saying, please?"
Command,"Go away, hands! Don't even think about touching my collectible cards!"
Question,Why do all the grass blades agree on green?
Attention,"Hey, over here!"
Need,I need my favorite toy!  
Distress,"My hotel key card isnât working, just like the mystery in Scooby-Doo!  "
Desire,I need a dose of animated happiness from my go-to show.
Question,"At what precise moment can we engage in board games, as my desire to play now is immense?"
Possession,"Iâve had this forever, itâs mine!"
Complaint,She pushed me
Refusal,"You can't tell me what to do, like you're the boss."
Imitation,"I’m pretending to say, “Let’s tidy up!” just like Daddy!"
Distress,It’s so sad my guitar string broke and I feel uncomfortable and mad
Pride,"Daddy, I know all the Indian spices now!  "
Possession,This frisbee is mine! I always bring it to the playground!  
Emotion,"being nervous means I care—it means something matters to me, even if it feels a little scary."
Complaint,He's making fun of me.
Question,What kind of family lives there?
Question,What makes a cat's 'righting reflex' so incredible for landing on its feet?
Command,Let’s call it a day and stop!
Observation,That house has a red front door.
Question,Do graphics cards have their own memory called VRAM to store textures?
Desire,Play toy. Bring it!
Comfort,Sitting close together helps me feel comforted.
Comfort,A teddy-bear hug is exactly what I need.
Need,I wish to have uninterrupted quiet time so I can focus my mind.
Imitation,Buzz-buzz! I’m copying the sound of a bee in a cartoon!
Command,"Keep Mum in the dark about this secret, it's our private matter!"
Need,Would it be possible for someone to lend a hand with lighting this candle?
Comfort,I need to talk—I don’t want to carry this alone.
Comfort,A gentle pat brings peace to my heart.
Excitement,Daddy up high
Imitation,"He said, 'Elementary, my dear Watson!' "
Distress,That made me feel really sad.
Pride,I jump high
Complaint,He pushed me off the bike!
Excitement,Hooray! This is awesome!
Emotion,Using silly voices makes me feel like a puppeteer of giggles.
Emotion,I feel embarrassed that I sang off-key in assembly.
Gratitude,Thankful for golden falafel!
Refusal,I donât want to share my controllerâI got it in Oxford!  
Complaint,It's not my turn to feed the dog!
Gratitude,"I love when you play superheroes with me, thank you!  "
Comfort,Sitting with you makes the sadness feel smaller and my heart feel better.
Complaint,This is not how I want to feel—it’s too hard.
Need,"I feel like I need to build a fort now, I want to make a cool hideout."
Command,"Pass me the remote, it's my turn for the Xbox."
Possession,"My tablet belongs to me, I always bring it when we travel to Bristol!  "
Complaint,The new rule is making things more difficult.
Refusal,"I said no,that uniform is annoying and I won’t wear it."
Comfort,Your presence is all I need to feel safe.
Comfort,"I need a hug, today was tiring!  "
Imitation,Zoom! I’m a superhero dashing to save the day!
Comfort,A little book in Wells is my perfect cozy escape.
Question,Is there a prehistoric animal that was bigger than the blue whale?
Complaint,"This math problem is too hard, I give up!"
Comfort,Kiss.
Desire,I'm pining for you to pick me up super high
Emotion,"When I feel watched,I feel like my quiet is being followed by invisible footsteps."
Question,How did medieval knights traditionally equip themselves with their full suits of armor?
Pride,"Look how fast I can run, like Sonic!"
Comfort,A kiss feels like sunshine on my cheek.
Command,"Look Mama, stop tickling me quick"
Refusal,Nope! My “go” button is stuck on pause today.
Distress,"I try to ignore it, but the repeated jabs leave me feeling flustered and drained"
Refusal,"No thanks, that song is too annoying—radio off."
Command,"Put together a mask, I need my hero look!"
Need,ought to enjoy it with a cold glass of milk.
Command,Return my Batman figure before he flies off without me
Question,Was ice cream invented by a kid with a sweet tooth?
Comfort,Can you sing it softly? It makes me feel all warm and sleepy inside.
